remedy,symptom_text,body_part,modality,source_book,severity,confidence_hint
Pa,"having practice, and the almost constant demand for a lately",,,,,
Muratic Acid,i noticed growths and pseudo-like membranous deposits of intestinal tract,,,,,
Spongia Tosta,i have every morning; on neck and forehead; very debilitating,,,,,
Phosphorus,it gets worse when amenorrhoea,,,,,
Sambucus Nigra,it hurts when aggravation,,,,,
Sarsaparilla,"checked by cold, wet weather, or mercury, followed by",general,not specified,Allen,moderate,0.8
Crotalus Horridus,"haemorrhage, blood dark, fluid, offensive",general,not specified,Allen,moderate,0.8
Kalmia Latifolia,it hurts when downward direction (cac,,,,,
Pulsatilla,i feel styes: especially on upper lid; from,,,,,
Magnesia Carbonica,"suffering from menses: preceded by sore throat (lac c.), labor-like pain,",,,,,
Baryta Carbonica,i noticed abdomen swollen; frequent attacks of colic; face bloated; general,,,,,
Rhododendron,"acute inflammatory swelling of joints, wandering from",general,not specified,Allen,moderate,0.8
Theridion Curassavicum,orange spider (araneideae),general,not specified,Allen,moderate,0.8
Calcarea Ostrearum,"my problem is disposed to grow fat, corpulent,",,,,,
Mercurius Corrosivus,having dysentery and summer complaints of intestinal lately,,,,,
Medorrhinum,i am experiencing constantly loses the thread of conversation,,,,,
Phosphorus,it gets worse when from warm to cold air (rev,,,,,
Theridion Curassavicum,it gets worse when least motion of head,,,,,
Iodum,"it hurts when low cachetic condition, with profound debility and great",,,,,
Staphisagria,i am experiencing inimical: ran,,,,,
Causticum,it hurts when ailments: from long-lasting grief and sorrow (phos,,,,,
Thuja Occidentalis,"i feel ""on blowing the nose a pressing pain",,,,,
Petroleum,"i noticed ship (coc., sanic.)",,,,,
Tabacum,"it hurts when face pale, blue, pinched, sunken, collapsed, covered with",,,,,
Rhus Toxicodendron,"corners of mouth ulcerated, fever blisters around mouth",general,not specified,Allen,moderate,0.8
Thuja as if some thing alive in abdomen,i have sitting and lying at night,,,,,
Sep,"all the symptoms except gastric, which are > by cold food (lyc.)",general,not specified,Allen,moderate,0.8
Hepar Sulphuris,"hoarseness and rattling of mucus; < cold air, cold drinks, before",general,not specified,Allen,moderate,0.8
Headache and diarrhoea from jarring of ears,"nipples, rest of body warm (during menses)",general,not specified,Allen,moderate,0.8
Spongia Tosta,"i feel like crying all the time, but crying makes her worse (nat",,,,,
Agnus Castus,"having gleet, with absence of sexual lately",,,,,
Pulsatilla,it hurts when - in the open air; lying on painful side (bry.); cold,,,,,
Lycopodium Clavatum,having foetus appears to be turning somersaults lately,,,,,
Aconitum Napellus,"i have hahnemann says: ""whenever aconite is chosen",,,,,
Sulphur,walk stooping like old men,general,not specified,Allen,moderate,0.8
Baryta Carbonica,"i feel - frequently useful before or after psor., sulph., and",,,,,
Headache and diarrhoea from jarring of ears,"it hurts when ammoniacal, high colored urine in bed every night; < by over-work",,,,,
Thuja Occidentalis,"it gets worse when (staph.); eruptions only on covered parts, burn after scratching",,,,,
Drosera Rotundifolia,"it gets worse when or after measles; spasmodic, with gagging, retching and vomiting",,,,,
Pa,it hurts when characteristic in the individuality of each remedy,,,,,
Sanguinaria,"my problem is seventh day (sabad., sil., sulph",,,,,
Phosphorus,"it gets worse when aggravates those of chest, throat and neck",,,,,
Millefolium,"it hurts when menses: early, profuse, protracted; suppressed, with",,,,,
Anacardium Orientale,"i am experiencing hypochondriac, with haemorrhoids and",,,,,
Agnus Castus,it gets worse when d.); often with great sadness; says she will die,,,,,
Diseases occurring in winter,i have mercury is < by,,,,,
Rhus Toxicodendron,"i feel much swelling, inflammation; burning, itching, stinging",,,,,
Sulphur,"it hurts when skin: itching,",,,,,
Chelidonium Majus,"i noticed compare: acon., bry., lyc., mer., nux, sang., sep.,",,,,,
Lachesis,"i have menses at regular time; too short,",,,,,
Digitalis Purpurea,i feel faintness or sinking at the stomach; exhaustion; extreme,,,,,
Croton Tiglium,suffering from pain from nipple through to back when nursing,,,,,
Nux Vomica,"i feel pains are ingling, sticking, hard, aching, worse from motion and",,,,,
Agaricus Muscarius,"i have - upper right, lower",,,,,
Ledum Palustre,subjectively to patient,general,not specified,Allen,moderate,0.8
Bryonia Alba,"similar: to, bell.,",general,not specified,Allen,moderate,0.8
Actaea Racemosa,it hurts when palpitation from least motion (dig.),,,,,
Headache and diarrhoea from jarring of ears,"i noticed nat.); sweets (sulph.); for ale, ice, acids, oranges, green fruit",,,,,
Allium Cepa,it gets worse when up the arm; pains drive to despair; in child-bed,,,,,
Phosphate of Magnesia,"having (with fever, hot head and skin, bell.) lately",,,,,
Melilotus Alba,suffering from vessels in any part of organ,,,,,
Cocculus,having nausea or vomiting from riding in lately,,,,,
Strych,aggravation,general,not specified,Allen,moderate,0.8
Ammonium Muriaticum,"suffering from by griping pain about the navel; brown, slimy, painless, after every",,,,,
Lycopodium Clavatum,"it hurts when avaricious, greedy, miserly, malacious,",,,,,
Calcarea Ostrearum,the least mental excitement causes profuse,general,not specified,Allen,moderate,0.8
Sarsaparilla,"m., sanic.)",general,not specified,Allen,moderate,0.8
Glonoine,"i have evening when sitting before and open coal fire, or falling asleep",,,,,
Tabacum,having constipation: inactive bowel or lately,,,,,
Sabina,i noticed chronic ailments of women; arthritic pains; tendency to,,,,,
Hepar Sulphuris,"it gets worse when hepar antidotes: bad effects of mercury and other metals, iodine,",,,,,
The Publishers,"i am experiencing used unchanged in the later edition, but it did not",,,,,
Sanguinaria,having eyes would be pressed out; relieved by sleep lately,,,,,
Rhus Toxicodendron,it hurts when particularly from stretching high up to reach things; lying on damp,,,,,
Hyoscyamus Niger,"i have urine; no desire to urinate in lying-in women (arn., op.)",,,,,
Aurum Metallicum,"it gets worse when the left half, lith",,,,,
Carbo Vegetabilis,i am experiencing patients crave things that make them,,,,,
Calcarea Ostrearum,it hurts when coldness: general;,,,,,
Diseases occurring in winter,"having are antidoted by aur., hep., lach., mez., nit lately",,,,,
Mercurius Proto Iodide,"suffering from right side; < by warm drinks, and empty swallowing (lach.)",,,,,
Calendula,"my problem is symp., calc",,,,,
Aethusa Cynapium,"it hurts when teething children; violent, sudden vomiting of a frothy, milk-white",,,,,
Apis Mellifica,"having (bell., lach.) lately",,,,,
Lycopodium Clavatum,"i have drinks (from warm drinks, lach.)",,,,,
Iodum,"hunger; eats freely and well, yet loses flesh all the time (abrot.,",general,not specified,Allen,moderate,0.8
Anthracinum,my problem is in the terrible,,,,,
Plumbum,having weakness or loss of lately,,,,,
Pa,it gets worse when the sick ever given the medical profession,,,,,
Bovista,"i feel s., sep., in",,,,,
Magnesia Carbonica,"my problem is been taken to ""sweeten the stomach;"" if the symptoms correspond,",,,,,
Phosphate of Magnesia,"cutting < by touch, cold air, pressure > by external heat",general,not specified,Allen,moderate,0.8
Colocynthis,"my problem is agonizing pain in abdomen causing patient to bend double, with",,,,,
Diphtherinum,i am experiencing relieve or permanently improve,,,,,
Colocynthis,"having offense (staph., lyc.); cheese < colic lately",,,,,
Lach,i feel than many who have not put it to the curative test imagine,,,,,
Anthracinum,"it hurts when nose, anus or sexual organs; black, thick, tar-like, rapidly",,,,,
Colchicum Autumnale,"sediment; bloody, brown, black, inky; contains clots of putrid",general,not specified,Allen,moderate,0.8
Belladonna,"having vertigo when stooping, or when rising lately",,,,,
Lachesis,"(carbo v., sulph.), after suppression by quinine the previous",general,not specified,Allen,moderate,0.8
Mercurius,i have (the element.),,,,,
Magnesia Muratica,suffering from chloride of magnesia (mgcl),,,,,
Ammonium Muriaticum,during menses: diarrhoea and vomiting; bloody discharge,general,not specified,Allen,moderate,0.8
Arum Triphyllum,"i noticed saliva profuse, acrid, corrodes the mucous membrane; tongue and",,,,,
Rhus Toxicodendron,i am experiencing pains: as if sprained; as if a muscle or tendon was,,,,,
Secale Cornutum,i feel leucorrhoea;,,,,,
Rheum,i noticed - complementary: after magn,,,,,
Diphtherinum,i noticed the 30th; its curative value also increases with increase of potency,,,,,
Arnica Montana,very red face,general,not specified,Allen,moderate,0.8
Borax,"it gets worse when canthus; tendency to ""wild hairs.""",,,,,
Argentum Nitricum,"of a splinter in throat when swallowing (dolch., hep., nit",general,not specified,Allen,moderate,0.8
Tabacum,"dyspepsia; chronic nervousness, especially in sedentary",general,not specified,Allen,moderate,0.8
Lachesis,"i am experiencing diphtheria and tonsillitis, beginning",,,,,
Calcarea Ostrearum,having in aged people lately,,,,,
Spongia Tosta,"i have compare: arn., caust., iod., lach., nux m.,",,,,,
Natrum Muriaticum,"with red insular patches; like ringworm on sides (ars., lach.,",general,not specified,Allen,moderate,0.8
Pulsatilla,"having (cal., sulph.) lately",,,,,
Valeriana,having exertion; > when walking lately,,,,,
Chamomilla,"compare: bell.,",general,not specified,Allen,moderate,0.8
Argentum Nitricum,in both sexes; followed by bleeding from vagina (nit,general,not specified,Allen,moderate,0.8
Arsenic Album,"stool scanty, dark-colored, offensive, and whether small or large,",general,not specified,Allen,moderate,0.8
Rhus Toxicodendron,"i am experiencing on getting up in the morning, > by walking or continued motion",,,,,
Trillium Pendulum,"it hurts when flooding, with",,,,,
Bacillinum,acute cerebral,general,not specified,Allen,moderate,0.8
Antimony Crudum,i noticed disposition to abnormal growths of the skin;,,,,,
Sulphur,"of bed early in the morning (aloe, psor.); as if the bowels were",general,not specified,Allen,moderate,0.8
Arsenic Album,"my problem is moved from one bed to another, and lies now here now there",,,,,
Headache and diarrhoea from jarring of ears,"it gets worse when green, bitter balls; viscid, difficult to raise",,,,,
Selenium,"while sitting, at stool, during sleep; gleet (calad.)",general,not specified,Allen,moderate,0.8
Stram,i feel amelioration,,,,,
Hyoscyamus Niger,"my problem is teeth covered with sordes, tongue dry and unweildly; involuntary",,,,,
Rhus Toxicodendron,great apprehension at night; fears he will die of,general,not specified,Allen,moderate,0.8
Colocynthis,i have pains: are worse after eating or,,,,,
Aesculus Hippocastanum,"i feel fullness, burning and itching (sulph.)",,,,,
Capsicum,my problem is constriction: in fauces; throat; nares;,,,,,
Glonoine,"suffering from terrific shock in the head, synchronous",,,,,
Thuja Occidentalis,my problem is glass and would break easily,,,,,
Bromium,emission of flatus from the vagina (lyc.); membranous,general,not specified,Allen,moderate,0.8
Lilium Tigrinum,"i feel beat, 150 to 170 per minute",,,,,
Cuprum Metallicum,"it hurts when convulsions, with blue face and clenched",,,,,
Kali Bichromicum,i am experiencing gagging from viscid mucus in the throat; < when undressing,,,,,
Causticum,suffering from acids; coffea,,,,,
Zincum Metallicum,"chillblains, painful, < from rubbing",general,not specified,Allen,moderate,0.8
Emaciation of affected parts,it gets worse when symptoms; arg,,,,,
Headache and diarrhoea from jarring of ears,"i noticed lower limbs ache all night, preventing sleep",,,,,
Abrotanum,"having tub.); the skin is flabby and hangs loose in folds (of neck, nat lately",,,,,
Naja Tripudians,"i have pulse irregular in force, but regular in rhythm",,,,,
Cyclamen Europaeum,"i am experiencing accompanied by vertigo, headache, dim vision",,,,,
Staphisagria,from the least touch on affected parts,general,not specified,Allen,moderate,0.8
Ruta Graveolens,"my problem is prolapse of rectum, immediately on",,,,,
Iodum,"i feel hard goitre, in",,,,,
Causticum,i noticed ac.); from loss,,,,,
Opium,i am experiencing picking of bed clothes during sleep,,,,,
Sexual desire absent in fleshy people,i feel - heat of summer; hot weather,,,,,
Hypericum Perforatum,always modifies and sometimes,general,not specified,Allen,moderate,0.8
Collinsonia Canadensis,suffering from haemorrhoidal dysentery with tenesmus,,,,,
Agnus Castus,it hurts when relationship,,,,,
Calcarea Ostrearum,"it gets worse when menstruation too early, too profuse, too long",,,,,
Syphillinum,i noticed diseases and syphillitic affections,,,,,
Sabina,i am experiencing promotes expulsion of moles or,,,,,
Causticum,"my problem is children with dark hair and eyes,",,,,,
Mercurius,"having intact, roots decay, mez.) lately",,,,,
Calcarea Ostrearum,"i feel psoric constitutions; pale, weak,",,,,,
Natrum Muriaticum,"i feel seminal emission: soon after coition, with",,,,,
Agaricus Muscarius,"i am experiencing zinc., in chorea",,,,,
Graphites,(amorphous carbon.),general,not specified,Allen,moderate,0.8
Pa,having comparisons is also included lately,,,,,
Ammonium Muriaticum,it gets worse when especially adapted to those who are fat and sluggish; or body large,,,,,
Croton Tiglium,i noticed time the child nurses; nipple very sore,,,,,
Natrum Muriaticum,"house, and on waking, will not believe to the contrary until search",general,not specified,Allen,moderate,0.8
Sepia,i am experiencing she loves best,,,,,
Diphtherinum,it hurts when the 30th; its curative value also increases with increase of potency,,,,,
Psorinum,"it gets worse when (painless, bar",,,,,
Natrum Muriaticum,it gets worse when contractions of the hamstrings (am,,,,,
Nitric Acid,having looks like remains of a cider barrel lately,,,,,
Calendula,having out of all proportion to injury lately,,,,,
Sambucus Nigra,"i am experiencing cough: suffocative,",,,,,
Lycopodium Clavatum,- nearly all diseases from 4 to 8 p,general,not specified,Allen,moderate,0.8
